contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
AMZN250627C00105000,2025-06-10 18:14:40+00:00,105.0,111.11,103.05,104.35,0.0,0.0,15.0,15,2.6757845605468753,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00110000,2025-06-20 16:23:59+00:00,110.0,100.02,98.0,99.15,0.0,0.0,1.0,2,2.2656293359374997,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00115000,2025-05-15 15:18:17+00:00,115.0,89.95,96.65,98.7,0.0,0.0,,2,4.231450023193359,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00120000,2025-06-23 16:08:20+00:00,120.0,89.42,88.05,89.35,0.16999817,0.19047414,2.0,24,2.1992232519531245,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00130000,2025-06-18 15:08:03+00:00,130.0,87.08,78.1,79.05,0.0,0.0,1.0,16,1.71875140625,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00135000,2025-06-20 17:15:41+00:00,135.0,75.9,73.0,74.1,0.0,0.0,19.0,19,1.5390648046875,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00140000,2025-06-02 14:31:46+00:00,140.0,69.9,68.1,69.25,4.880005,7.5053906,6.0,9,1.615236298828125,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00145000,2025-06-20 17:12:43+00:00,145.0,65.45,63.0,64.2,0.0,0.0,18.0,24,1.39453427734375,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00150000,2025-06-20 18:56:40+00:00,150.0,59.0,58.1,58.95,-0.34999847,-0.5897194,1.0,50,1.1484417578125,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00155000,2025-06-20 18:52:13+00:00,155.0,54.64,53.0,54.3,0.0,0.0,1.0,7,1.22266013671875,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00160000,2025-06-20 19:46:32+00:00,160.0,49.53,48.25,48.75,0.0,0.0,8.0,3189,0.8789074609374999,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00165000,2025-06-23 14:28:42+00:00,165.0,45.0,43.05,44.35,0.20000076,0.4464303,5.0,17,1.0351610742187503,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00170000,2025-06-23 19:14:26+00:00,170.0,39.45,38.1,39.0,-1.0699997,-2.6406705,9.0,56,0.7851583984375,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00175000,2025-06-23 17:24:19+00:00,175.0,34.05,32.95,34.2,-0.15000153,-0.43860096,1.0,55,0.7148466015625,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00180000,2025-06-23 16:34:43+00:00,180.0,28.26,28.1,29.2,-1.039999,-3.5494847,11.0,182,0.6699251757812501,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00185000,2025-06-23 18:41:38+00:00,185.0,24.45,23.35,23.95,-1.1999989,-4.678358,45.0,208,0.5634809277343751,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00187500,2025-06-23 17:37:07+00:00,187.5,22.55,20.5,21.4,0.75,3.440367,9.0,13,0.6103554589843752,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00190000,2025-06-23 18:59:27+00:00,190.0,18.73,18.5,18.8,-0.9300003,-4.7304187,92.0,537,0.5180712255859375,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00192500,2025-06-23 19:38:20+00:00,192.5,16.72,15.95,16.5,-0.960001,-5.4298697,4.0,40,0.516606396484375,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00195000,2025-06-23 19:51:57+00:00,195.0,13.9,13.6,13.85,-1.6700001,-10.725755,117.0,597,0.415044912109375,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00197500,2025-06-23 18:29:35+00:00,197.5,11.57,11.15,11.55,-1.6300001,-12.002947,182.0,307,0.39893179199218753,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00200000,2025-06-23 19:53:58+00:00,200.0,9.15,8.85,9.05,-1.5500002,-14.485983,337.0,3613,0.3320379296875,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00202500,2025-06-23 19:53:42+00:00,202.5,6.85,6.65,6.8,-1.3600001,-16.76942,551.0,558,0.30054410400390624,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00205000,2025-06-23 19:59:29+00:00,205.0,4.75,4.65,4.8,-1.5999999,-25.196848,1777.0,2742,0.28174546386718746,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00207500,2025-06-23 19:59:36+00:00,207.5,3.05,3.05,3.15,-1.49,-32.81938,5660.0,2532,0.27149166015625,True,REGULAR,USD,call,2025-06-27,AMZN
AMZN250627C00210000,2025-06-23 19:59:51+00:00,210.0,1.78,1.78,1.81,-1.27,-41.639343,26776.0,11855,0.2559888854980469,False,REGULAR,USD,call,2025-06-27,AMZN
