contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
META250627C00300000,2025-06-23 19:39:51+00:00,300.0,397.0,397.9,399.35,11.0,2.849741,9.0,16,2.5546911132812498,True,REGULAR,USD,call,2025-06-27,META
META250627C00310000,2025-06-18 18:35:19+00:00,310.0,387.8,387.65,389.5,0.0,0.0,,1,2.2968792578125,True,REGULAR,USD,call,2025-06-27,META
META250627C00320000,2025-06-06 18:08:46+00:00,320.0,378.6,377.65,379.45,0.0,0.0,4.0,2,2.0781298046874994,True,REGULAR,USD,call,2025-06-27,META
META250627C00330000,2025-06-18 18:35:57+00:00,330.0,367.35,367.7,369.5,0.0,0.0,,1,2.2187544531249994,True,REGULAR,USD,call,2025-06-27,META
META250627C00350000,2025-06-18 18:36:40+00:00,350.0,348.15,347.9,349.4,0.0,0.0,,15,2.16406708984375,True,REGULAR,USD,call,2025-06-27,META
META250627C00360000,2025-06-20 14:49:33+00:00,360.0,328.75,337.7,339.55,0.0,0.0,2.0,3,2.031254921875,True,REGULAR,USD,call,2025-06-27,META
META250627C00370000,2025-06-18 18:37:37+00:00,370.0,328.3,327.7,329.55,0.0,0.0,,1,1.953125234375,True,REGULAR,USD,call,2025-06-27,META
META250627C00380000,2025-06-20 14:42:07+00:00,380.0,308.55,317.9,319.5,0.0,0.0,20.0,9,1.9921875390625,True,REGULAR,USD,call,2025-06-27,META
META250627C00400000,2025-06-20 19:55:00+00:00,400.0,287.05,297.8,299.5,5.799988,2.062218,5.0,8,1.7695324023437498,True,REGULAR,USD,call,2025-06-27,META
META250627C00420000,2025-06-13 14:10:55+00:00,420.0,270.15,277.7,279.55,0.0,0.0,,1,1.5898458007812497,True,REGULAR,USD,call,2025-06-27,META
META250627C00430000,2025-06-13 16:24:40+00:00,430.0,263.48,267.75,269.55,0.0,0.0,,1,1.5585959570312498,True,REGULAR,USD,call,2025-06-27,META
META250627C00435000,2025-06-10 19:45:38+00:00,435.0,266.6,262.75,264.6,0.0,0.0,1.0,1,1.5546897265624997,True,REGULAR,USD,call,2025-06-27,META
META250627C00440000,2025-06-13 15:14:08+00:00,440.0,251.31,257.75,259.6,0.0,0.0,,3,1.5195336523437497,True,REGULAR,USD,call,2025-06-27,META
META250627C00450000,2025-06-16 14:05:01+00:00,450.0,250.53,248.0,249.35,0.0,0.0,1.0,8,1.451174619140625,True,REGULAR,USD,call,2025-06-27,META
META250627C00475000,2025-06-20 18:06:17+00:00,475.0,210.19,222.75,224.6,0.0,0.0,2.0,1,1.2871129394531249,True,REGULAR,USD,call,2025-06-27,META
META250627C00480000,2025-06-04 18:22:22+00:00,480.0,206.3,217.75,219.6,0.0,0.0,1.0,3,1.255863095703125,True,REGULAR,USD,call,2025-06-27,META
META250627C00490000,2025-06-13 19:54:26+00:00,490.0,191.97,207.95,209.55,0.0,0.0,12.0,13,1.2519568652343749,True,REGULAR,USD,call,2025-06-27,META
META250627C00495000,2025-06-23 15:06:02+00:00,495.0,197.0,202.95,204.45,8.850006,4.703697,4.0,193,1.18359783203125,True,REGULAR,USD,call,2025-06-27,META
META250627C00500000,2025-06-23 19:11:52+00:00,500.0,196.22,198.05,199.35,10.690002,5.761873,3.0,8,1.15234798828125,True,REGULAR,USD,call,2025-06-27,META
META250627C00510000,2025-06-16 19:50:00+00:00,510.0,191.8,187.8,189.65,0.0,0.0,1.0,22,1.107426337890625,True,REGULAR,USD,call,2025-06-27,META
META250627C00515000,2025-06-20 14:55:51+00:00,515.0,172.05,182.85,184.65,0.0,0.0,1.0,2,1.0927779736328125,True,REGULAR,USD,call,2025-06-27,META
META250627C00520000,2025-06-20 19:40:30+00:00,520.0,162.44,177.8,179.65,0.0,0.0,1.0,2,1.0459032080078128,True,REGULAR,USD,call,2025-06-27,META
META250627C00525000,2025-06-20 19:19:55+00:00,525.0,156.42,172.8,174.65,0.0,0.0,2.0,6,1.015629921875,True,REGULAR,USD,call,2025-06-27,META
META250627C00530000,2025-06-13 19:43:51+00:00,530.0,153.52,167.8,169.65,0.0,0.0,,6,0.9853517089843751,True,REGULAR,USD,call,2025-06-27,META
META250627C00535000,2025-06-20 15:54:45+00:00,535.0,153.43,163.0,164.6,0.0,0.0,1.0,13,0.9960937890625,True,REGULAR,USD,call,2025-06-27,META
META250627C00540000,2025-06-23 15:15:38+00:00,540.0,153.16,157.8,159.65,11.559998,8.163839,1.0,6,0.9257819921875,True,REGULAR,USD,call,2025-06-27,META
META250627C00545000,2025-06-17 18:26:17+00:00,545.0,153.57,152.85,154.7,0.0,0.0,4.0,7,0.92187578125,True,REGULAR,USD,call,2025-06-27,META
META250627C00550000,2025-06-20 19:59:51+00:00,550.0,132.56,147.95,149.6,-0.55999756,-0.42067125,1.0,27,0.89257919921875,True,REGULAR,USD,call,2025-06-27,META
META250627C00555000,2025-06-23 19:39:26+00:00,555.0,142.67,143.0,144.6,14.669998,11.460936,2.0,20,0.8730481445312499,True,REGULAR,USD,call,2025-06-27,META
META250627C00560000,2025-06-20 19:41:50+00:00,560.0,122.53,138.0,139.5,0.0,0.0,10.0,11,0.8208025732421874,True,REGULAR,USD,call,2025-06-27,META
