contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
NFLX250627C00480000,2025-06-11 17:32:16+00:00,480.0,762.2,771.9,778.15,16.480042,2.2099504,3.0,3.0,3.6826179809570316,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00500000,2025-06-17 16:46:01+00:00,500.0,729.28,751.9,757.5,0.0,0.0,2.0,2.0,3.4218764453125,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00550000,2025-05-29 13:30:08+00:00,550.0,660.35,701.15,708.2,0.0,0.0,,1.0,3.0820335449218748,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00610000,2025-06-12 13:30:21+00:00,610.0,615.95,641.2,647.3,0.0,0.0,,1.0,2.5649449938964843,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00630000,2025-06-12 13:30:21+00:00,630.0,596.05,621.15,627.0,0.0,0.0,,1.0,2.376957182617187,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00670000,2025-06-17 13:36:25+00:00,670.0,560.7,580.55,587.4,0.0,0.0,1.0,1.0,2.127934367675781,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00690000,2025-06-23 14:04:50+00:00,690.0,544.59,561.2,568.25,9.970032,1.864882,1.0,1.0,2.308109698486328,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00700000,2025-06-17 17:03:36+00:00,700.0,528.25,550.6,558.1,0.0,0.0,2.0,2.0,2.1464890087890627,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00720000,2025-06-20 19:51:29+00:00,720.0,510.78,530.55,537.55,0.0,0.0,1.0,1.0,1.9375003125,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00740000,2025-05-22 19:04:31+00:00,740.0,459.92,488.05,496.0,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00750000,2025-06-13 16:19:32+00:00,750.0,470.09,502.1,508.35,0.0,0.0,6.0,7.0,2.1210984472656245,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00770000,2025-06-23 19:42:49+00:00,770.0,483.19,480.65,488.1,19.799988,4.2728558,5.0,3.0,1.8330086474609373,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00780000,2025-06-06 19:48:26+00:00,780.0,466.38,470.6,478.4,0.0,0.0,1.0,1.0,1.8227547924804686,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00790000,2025-05-21 16:52:49+00:00,790.0,422.73,438.1,445.95,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00800000,2025-06-18 17:08:05+00:00,800.0,428.75,450.85,457.3,0.0,0.0,1.0,3.0,1.6084003955078123,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00810000,2025-06-13 19:33:14+00:00,810.0,403.73,440.65,447.2,0.0,0.0,,1.0,1.5078149609375,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00850000,2025-06-17 15:10:49+00:00,850.0,387.85,401.4,407.75,12.820007,3.418395,1.0,4.0,1.541017919921875,True,REGULAR,USD,call,2025-06-27,NFLX
NFLX250627C00860000,2025-06-12 17:01:05+00:00,860.0,361.1,391.2,397.6,0.0,0.0,1.0,2.0,1.4614284741210937,True,REGULAR,USD,call,2025-06-27,NFLX
