contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
AAPL250627C00110000,2025-06-20 19:58:43+00:00,110.0,91.15,90.75,92.55,0.0,0.0,31.0,36,2.2617230957031245,True,REGULAR,USD,call,2025-06-27,AAPL
AAPL250627C00120000,2025-06-20 18:22:00+00:00,120.0,80.4,80.8,82.6,0.0,0.0,4.0,4,2.0468798828125,True,REGULAR,USD,call,2025-06-27,AAPL
AAPL250627C00130000,2025-06-04 19:34:09+00:00,130.0,73.6,70.8,72.6,0.0,0.0,1.0,0,1.76171994140625,True,REGULAR,USD,call,2025-06-27,AAPL
AAPL250627C00135000,2025-06-12 17:20:36+00:00,135.0,64.72,65.75,67.65,0.0,0.0,1.0,2,1.625001875,True,REGULAR,USD,call,2025-06-27,AAPL
AAPL250627C00140000,2025-06-20 19:02:28+00:00,140.0,60.38,61.35,61.9,0.0,0.0,1.0,7174,1.3984405078125,True,REGULAR,USD,call,2025-06-27,AAPL
AAPL250627C00145000,2025-06-18 17:06:31+00:00,145.0,51.33,55.9,57.45,0.0,0.0,69.0,69,1.3418001660156247,True,REGULAR,USD,call,2025-06-27,AAPL
AAPL250627C00150000,2025-06-20 18:03:00+00:00,150.0,49.63,50.75,52.15,0.0,0.0,5.0,41,1.5332054589843749,True,REGULAR,USD,call,2025-06-27,AAPL
AAPL250627C00155000,2025-06-13 15:47:53+00:00,155.0,43.1,46.25,47.4,0.0,0.0,,9,1.21875390625,True,REGULAR,USD,call,2025-06-27,AAPL
AAPL250627C00160000,2025-06-20 14:36:28+00:00,160.0,38.39,41.1,42.55,0.0,0.0,2.0,1006,1.0927779736328125,True,REGULAR,USD,call,2025-06-27,AAPL
AAPL250627C00165000,2025-06-20 18:59:24+00:00,165.0,34.89,35.95,37.65,0.0,0.0,2.0,38,0.95507857421875,True,REGULAR,USD,call,2025-06-27,AAPL
AAPL250627C00170000,2025-06-23 19:14:09+00:00,170.0,31.52,31.15,31.95,3.6900005,13.259075,18.0,34,0.63086306640625,True,REGULAR,USD,call,2025-06-27,AAPL
